technique_id,technique_name,tactics,covered,enforcement_mechanism,airlock_control,testable,test_case,limitations
T1016.001,Internet Connection Discovery,discovery,No,Internet connection discovery. Testing connectivity. Trusted tools.,none,no,N/A.,
T1016.002,Wi-Fi Discovery,discovery,Yes,netsh.exe (netsh wlan show) restrictable via blocklist metarule.,blocklist-metarule,yes,Blocklist netsh.exe for non-admins.,
T1018,Remote System Discovery,discovery,Yes,net.exe (net view) restrictable via blocklist metarule. Standalone scanning tools blocked.,default-deny + blocklist-metarule,yes,1) Standalone scanner -> blocked. 2) Blocklist net.exe for non-admins.,"ping, nslookup too fundamental to blocklist. net.exe is the primary discovery tool to restrict."
T1020,Automated Exfiltration,exfiltration,No,Automated exfiltration. Scripted data transfer. Script must be trusted.,script-control (tool),partial,Untrusted exfil script -> blocked.,Trusted PS scripts doing data transfer succeed.
T1021,Remote Services,lateral-movement,Yes,"Remote access to target. Post-access, any untrusted tools attacker tries to run are blocked by Airlock on the target endpoint.",default-deny (on target),yes,"Attacker RDPs/SSHs to target, runs unsigned tool -> blocked.",Access mechanism itself not prevented. Airlock's value is enforcement on the target.
T1021.001,Remote Desktop Protocol,lateral-movement,Yes,"RDP provides access. Post-access, any untrusted tool attacker runs is blocked by Airlock on target.",none (post-access controlled),partial,RDP to target -> attempt to run unsigned tool -> blocked.,RDP access itself not prevented. Airlock's value is execution control post-access.
T1021.002,SMB/Windows Admin Shares,lateral-movement,Yes,SMB/Windows admin shares. Tools like PsExec push service binaries via SMB. Binary must be trusted on target. PsExec blocklisted.,default-deny + blocklist,yes,PsExec via SMB -> PSEXESVC.exe blocked on target. Attacker copies malware via \\target\C$ -> execution blocked.,File copy succeeds. Execution blocked.
T1021.003,Distributed Component Object Model,lateral-movement,Yes,DCOM. Remote COM execution. Payload on remote host must be trusted. DLLs must be trusted.,default-deny + DLL-control,yes,DCOM executing untrusted payload on remote host -> blocked.,DCOM using trusted binaries succeeds.
T1021.005,VNC,lateral-movement,Yes,VNC server must be allowlisted on target to run. Unauthorized VNC installation blocked.,default-deny,partial,VNC server exe not allowlisted -> blocked.,"If VNC is legitimately deployed and trusted, attacker with credentials has access."
T1021.006,Windows Remote Management,lateral-movement,Yes,WinRM commands execute on remote target. Any binary/script the command invokes must be trusted on target.,default-deny,yes,WinRM executing untrusted binary on target -> blocked.,Inline PS commands via WinRM on trusted PS succeed. Execution of untrusted files is blocked.
T1025,Data from Removable Media,collection,No,Data from removable media. Reading USB. Data operation.,none,no,N/A.,
T1027,Obfuscated Files or Information,defense-evasion,Yes,Obfuscation changes file hash. Obfuscated variant has unknown hash -> not in allowlist -> blocked by default-deny. This is a fundamental strength of allowlisting over signature-based detection.,default-deny,partial,Obfuscated exe with unique hash -> blocked (not in allowlist).,"If obfuscated file retains valid publisher signature, may pass publisher trust."
T1027.001,Binary Padding,defense-evasion,Yes,Binary padding. Changes hash. Padded binary won't match allowlisted hash.,default-deny,yes,Padded exe -> new hash -> not in allowlist -> blocked.,Publisher trust still applies if signature valid.
T1027.002,Software Packing,defense-evasion,Yes,Software packing. Packed exe has different hash than original. Not in allowlist.,default-deny,yes,UPX-packed malware -> unique hash -> blocked.,"If packer preserves valid publisher signature, may pass publisher trust. Rare in practice."
T1027.003,Steganography,defense-evasion,No,Steganography. Data hidden in images. No file execution until payload extracted.,default-deny (if extracted payload executed),partial,Stego payload extracted and executed -> blocked if untrusted.,Extraction happens inside trusted process.
T1027.004,Compile After Delivery,defense-evasion,Yes,"Source code delivered, compiled on target. Compiled output has new hash -> blocked by default-deny. Compilers (csc.exe, vbc.exe) are MS-signed but can be explicitly blocklisted to prevent compilation entirely.",default-deny + blocklist,yes,1) Compile .cs with csc.exe -> output exe blocked (untrusted hash). 2) Blocklist csc.exe/vbc.exe for non-developers.,"Compilers are MS-signed and may be publisher-trusted. Without explicit blocklist, compilation can occur but output is still blocked."
T1027.005,Indicator Removal from Tools,defense-evasion,Yes,Modified tool has new hash -> not in allowlist -> blocked.,default-deny,partial,Modified tool -> new hash -> blocked.,
T1027.006,HTML Smuggling,defense-evasion,Yes,"HTML smuggling. Malicious file assembled from HTML/JS in browser. When user saves and executes, file must be trusted.",default-deny + script-control,yes,HTML smuggling assembles exe in browser -> user saves to disk -> runs -> blocked.,Assembly happens in browser JS. Execution blocked.
T1027.007,Dynamic API Resolution,defense-evasion,No,Dynamic API resolution. Runtime technique inside trusted process. No file execution.,none,no,N/A.,In-process behavior.
T1027.008,Stripped Payloads,defense-evasion,Yes,Stripped payload has new hash -> not in allowlist -> blocked.,default-deny,partial,Stripped exe -> blocked.,
T1027.009,Embedded Payloads,defense-evasion,Yes,Embedded payload extracted and executed. Extracted payload must be trusted.,default-deny,partial,Extracted payload executed -> blocked if untrusted.,Extraction happens inside trusted process — not caught. Execution of extracted file IS caught.
T1027.010,Command Obfuscation,defense-evasion,No,Command obfuscation. Obfuscated commands in trusted interpreter. Airlock doesn't inspect command content.,none,no,N/A.,Inline commands in trusted interpreter not inspected regardless of obfuscation.
T1027.011,Fileless Storage,defense-evasion,No,Fileless storage. Malicious content stored in registry/WMI/etc. No file on disk to hash.,none,no,N/A.,"If fileless payload eventually loads DLL/exe, that load is checked."
T1027.012,LNK Icon Smuggling,defense-evasion,Yes,LNK triggering payload execution. Payload must be trusted.,default-deny,partial,LNK triggering untrusted payload -> blocked.,LNK file itself not controlled.
T1027.013,Encrypted/Encoded File,defense-evasion,Yes,Encrypted/encoded file must be decrypted before execution. Decrypted payload must be trusted.,default-deny,partial,"Encrypted payload decrypted to disk, executed -> blocked.",Decryption inside trusted process not caught. Execution of decrypted file IS caught.
T1027.014,Polymorphic Code,defense-evasion,Yes,Polymorphic code generates unique hash each time -> never matches allowlist. Default-deny is inherently anti-polymorphic. This is a strong advantage over signature-based detection.,default-deny,yes,Polymorphic exe -> unique hash every time -> blocked every time.,Fundamental strength of allowlisting vs AV signatures.
T1027.015,Compression,defense-evasion,Yes,Compressed payload extracted and executed -> must be trusted.,default-deny,partial,Extracted exe -> blocked.,
T1027.016,Junk Code Insertion,defense-evasion,Yes,Junk code changes hash -> not in allowlist -> blocked.,default-deny,partial,Modified binary -> blocked.,
T1027.017,SVG Smuggling,defense-evasion,Yes,SVG smuggling. Similar to HTML smuggling. Assembled file must be trusted to execute.,default-deny,yes,SVG smuggling assembles payload -> user executes -> blocked.,Assembly in browser.
T1029,Scheduled Transfer,exfiltration,No,Scheduled transfer. Same principle.,none,no,N/A.,
T1030,Data Transfer Size Limits,exfiltration,No,Data transfer size limits. Network-level evasion.,none,no,N/A.,
T1033,System Owner/User Discovery,discovery,Yes,whoami.exe restrictable via blocklist metarule for non-admins.,blocklist-metarule,yes,Blocklist whoami.exe for non-admins.,Environment variables and PowerShell alternatives available if PS trusted.
T1036,Masquerading,defense-evasion,Yes,Masquerading changes file appearance but not file hash. Airlock checks SHA-256 hash of actual file content — masquerading is irrelevant to enforcement.,default-deny,yes,Renamed malware -> hash doesn't match allowlist -> blocked. Blocklist original_filename metarule catches renamed trusted tools.,
T1036.001,Invalid Code Signature,defense-evasion,Yes,Invalid code signature. File with invalid/spoofed signature. Airlock verifies publisher signatures cryptographically. Invalid sig = untrusted.,default-deny + publisher-trust,yes,Exe with invalid signature -> not trusted by publisher -> blocked unless hash-trusted.,Airlock's publisher trust verifies signatures properly.
T1036.002,Right-to-Left Override,defense-evasion,Yes,Right-to-left override. Disguises file extension. Airlock hashes the actual file regardless of display name.,default-deny,yes,RLO-renamed exe -> still hashed as exe -> blocked if untrusted.,Hash check is name-agnostic.
T1036.003,Rename Legitimate Utilities,defense-evasion,Yes,Rename legitimate utilities. Renamed tool still has same hash. BUT blocklist metadata engine uses original_filename field which survives renaming. Can blocklist by original_filename regardless of actual filename.,blocklist-metarule (original_filename),yes,Rename powershell.exe to svchost.exe -> blocklist metarule on original_filename 'powershell' still catches it.,Original filename is embedded in PE metadata. This is a strong detection.
T1036.004,Masquerade Task or Service,defense-evasion,No,Masquerade task or service name. Naming trick. Doesn't affect file trust.,none,no,N/A - service/task naming is cosmetic.,Service binary still checked regardless of service name.
T1036.005,Match Legitimate Resource Name or Location,defense-evasion,Yes,Match legitimate resource name/location. Malicious file in legitimate-looking path. Hash check catches regardless of location.,default-deny,yes,Malware in C:\Windows\System32 (untrusted hash) -> blocked.,"If directory is path-trusted, could be a gap. Don't path-trust System32 broadly."
T1036.007,Double File Extension,defense-evasion,Yes,Double file extension. document.pdf.exe displayed as PDF. Airlock checks actual file type and hashes.,default-deny,yes,Double extension exe -> hashed as PE -> blocked.,
T1036.008,Masquerade File Type,defense-evasion,Yes,Masquerade file type. File with wrong extension. Airlock hashes the full file content.,default-deny,yes,"Exe with .txt extension -> when executed, still hashed as PE -> blocked if untrusted.",
T1036.010,Masquerade Account Name,defense-evasion,No,Masquerade account name. Identity-level disguise.,none,no,N/A.,
T1036.012,Browser Fingerprint,defense-evasion,No,"Browser fingerprint manipulation. Browser behavior, no file execution.",none,no,N/A.,
T1037,Boot or Logon Initialization Scripts,"persistence,privilege-escalation",Yes,Boot/logon init scripts. Script content must be trusted via script control. Untrusted scripts blocked at logon.,script-control + default-deny,yes,Set GPO logon script to untrusted .bat -> blocked at logon.,Script path configuration not prevented.
T1037.001,Logon Script (Windows),"persistence,privilege-escalation",Yes,"Logon scripts (Windows). Script file must be trusted. Scripts in NETLOGON share: if path-trusted, runs.",script-control + default-deny,yes,"Place untrusted .bat in NETLOGON, assign via GPO -> blocked on target at logon.",Legitimate scripts in trusted paths run. Replacing trusted script at same path could work if path-trusted.
T1037.003,Network Logon Script,"persistence,privilege-escalation",Yes,Network logon script. Same principle as T1037.001 but via network logon.,script-control + default-deny,yes,Untrusted network logon script -> blocked.,Same path trust caveats.
T1039,Data from Network Shared Drive,collection,No,Data from network shared drive. Reading shares. Data operation.,none,no,N/A.,
T1040,Network Sniffing,"credential-access,discovery",Yes,"Standalone capture tools (Wireshark, tcpdump, windump) blocked by default-deny. Built-in pktmon.exe restrictable via blocklist metarule.",default-deny + blocklist-metarule,yes,1) Wireshark not allowlisted -> blocked. 2) Blocklist pktmon.exe for non-admins.,Network-level captures via other means (port mirroring) outside scope.
T1041,Exfiltration Over C2 Channel,exfiltration,No,Exfiltration over C2 channel. Network. In-process by C2 implant.,none,no,N/A.,"If C2 implant is untrusted, blocked. Network-level exfil not caught."
T1046,Network Service Discovery,discovery,Yes,"Standalone scanning tools (nmap, masscan) blocked by default-deny. PowerShell Test-NetConnection available but PS itself can be blocklisted for non-admins.",default-deny + blocklist-metarule,yes,1) nmap -> blocked. 2) Blocklist PS for non-admins to prevent Test-NetConnection scanning.,"Basic network tools (ping, nslookup) hard to blocklist without breaking operations."
T1047,Windows Management Instrumentation,execution,Yes,"WMI tools (wmic.exe, wmiprvse.exe) typically trusted. Any payload WMI launches must pass default-deny — untrusted exe/script/DLL blocked at execution. wmic.exe itself can be blocklisted per user/group via metarules.",default-deny + blocklist,yes,wmic process call create C:\Temp\unsigned.exe -> exe blocked at execution. Blocklist wmic.exe for non-admins via metarule.,Inline WMI commands (process call create 'cmd /c whoami') run inside trusted interpreter — not inspected. WMI event subscriptions: payload still checked at execution.
T1048,Exfiltration Over Alternative Protocol,exfiltration,No,Exfiltration over alternative protocol. Network.,none,no,N/A.,
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,exfiltration,No,Symmetric encrypted non-C2. Network.,none,no,N/A.,
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,exfiltration,No,Asymmetric encrypted non-C2. Network.,none,no,N/A.,
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,exfiltration,No,Unencrypted non-C2. Network.,none,no,N/A.,
T1049,System Network Connections Discovery,discovery,Yes,netstat.exe restrictable via blocklist metarule for non-admins.,blocklist-metarule,yes,Blocklist netstat.exe for non-admins.,PowerShell Get-NetTCPConnection available if PS trusted.
T1052,Exfiltration Over Physical Medium,exfiltration,No,Exfiltration over physical medium. USB/physical.,none,no,N/A.,
T1052.001,Exfiltration over USB,exfiltration,No,Exfiltration over USB. Physical.,none,no,N/A.,
T1053,Scheduled Task/Job,"execution,persistence,privilege-escalation",Yes,Task scheduling tools are trusted OS utilities. Task creation not blocked. Payload blocked when task fires if untrusted.,default-deny,yes,"schtasks /create /tn test /tr C:\Temp\payload.exe /sc once /st 12:00 -> creates OK. When task fires, payload.exe blocked.",Task creation succeeds. Trusted-signed payloads run.
T1053.002,At,"execution,persistence,privilege-escalation",Yes,at utility schedules tasks. at.exe can be blocklisted. Payload blocked at execution time.,default-deny + blocklist,yes,"at 12:00 C:\Temp\malware.exe -> job creates, exe blocked at scheduled time.",Job creation not prevented.
T1053.005,Scheduled Task,"execution,persistence,privilege-escalation",Yes,Windows Task Scheduler. schtasks.exe trusted. Payload must be trusted when task fires. schtasks.exe restrictable via blocklist metarules.,default-deny + blocklist,yes,"schtasks /create /tn evil /tr C:\Temp\payload.exe -> OK. On fire, payload blocked.",Task creation not prevented. PS one-liners via -Command not caught if PS trusted.
T1055,Process Injection,"defense-evasion,privilege-escalation",No,"Process injection (parent). Injecting code into trusted process memory. Airlock doesn't monitor memory operations. If injection requires loading a DLL from disk, DLL control catches it.",DLL-control (conditional),partial,DLL injection where DLL is a file on disk -> DLL must be trusted. Memory-only injection -> not caught.,Primary gap. EDR territory for memory-based injection.
T1055.001,Dynamic-link Library Injection,"defense-evasion,privilege-escalation",Yes,DLL injection via LoadLibrary — DLL file must exist on disk and be trusted. Airlock blocks untrusted DLL at load time.,DLL-control,yes,CreateRemoteThread + LoadLibrary with untrusted DLL -> DLL blocked at load.,"Reflective DLL injection (loaded entirely from memory, no file on disk) not caught — that's EDR territory."
T1055.002,Portable Executable Injection,"defense-evasion,privilege-escalation",No,PE injection. Writing PE directly into process memory. No file on disk.,none,no,N/A - memory-only.,EDR territory.
T1055.003,Thread Execution Hijacking,"defense-evasion,privilege-escalation",No,Thread execution hijacking. Modifying existing thread in trusted process. Memory-level.,none,no,N/A.,
T1055.004,Asynchronous Procedure Call,"defense-evasion,privilege-escalation",No,Asynchronous procedure call (APC) injection. Memory-level.,none,no,N/A.,
T1055.005,Thread Local Storage,"defense-evasion,privilege-escalation",No,Thread local storage injection. Memory-level.,none,no,N/A.,
T1055.011,Extra Window Memory Injection,"defense-evasion,privilege-escalation",No,Extra window memory injection. Memory-level.,none,no,N/A.,
T1055.012,Process Hollowing,"defense-evasion,privilege-escalation",No,"Process hollowing creates a suspended process with a trusted binary, then replaces its image in memory. The memory replacement is invisible to Airlock. The initial process uses a trusted binary so Airlock allows it.",DLL-control (conditional),partial,N/A — memory manipulation of trusted process.,"If hollowing stages payload as file on disk first, that file is checked. Pure memory hollowing not caught. EDR territory."
T1055.013,Process Doppelgänging,"defense-evasion,privilege-escalation",No,"Process doppelganging uses NTFS transactions to create a file, load it into memory, then roll back the transaction. The file never persists on disk. Airlock's kernel driver may or may not intercept the transacted file load — needs lab validation.",default-deny (potentially),partial,Needs lab testing to confirm whether Airlock's kernel driver intercepts file loads during NTFS transactions.,Uncertain coverage. Treat as not covered until validated.
T1055.015,ListPlanting,"defense-evasion,privilege-escalation",No,ListPlanting. Message-based code execution in trusted process. Memory-level.,none,no,N/A.,
T1056,Input Capture,"collection,credential-access",No,Keylogger as standalone tool blocked. DLL-based keylogger DLL blocked. But keylogging achievable via trusted process API hooks or in-process techniques.,default-deny (tool),partial,Standalone keylogger exe -> blocked. Keylogger DLL -> blocked.,In-process keylogging via trusted process not caught. EDR territory.
T1056.001,Keylogging,"collection,credential-access",No,Standalone keylogger tools/DLLs blocked. But technique achievable with in-process hooks from trusted code.,default-deny + DLL-control,partial,Keylogger exe -> blocked. Keylogger DLL -> blocked.,In-process API-level keylogging not caught.
T1056.002,GUI Input Capture,"collection,credential-access",No,GUI input capture. Fake dialog boxes from trusted processes. In-process.,none,no,N/A.,
T1056.003,Web Portal Capture,"collection,credential-access",No,Web portal capture. Server-side/web-level.,none,no,N/A.,
T1056.004,Credential API Hooking,"collection,credential-access",No,Credential API hooking DLL must be trusted to load. But hooking achievable from within trusted process.,DLL-control,partial,Untrusted hooking DLL -> blocked.,In-process hooking not caught.
T1057,Process Discovery,discovery,Yes,tasklist.exe restrictable via blocklist metarule for non-admins.,blocklist-metarule,yes,Blocklist tasklist.exe for non-admins.,PowerShell Get-Process available if PS trusted.
T1059,Command and Scripting Interpreter,execution,Yes,"Script control enforces allowlisting on all configured script types (PS, batch, cmd, Python, JS, VBS, MSI, etc). Every script SHA-256 hashed at execution. Interpreters controllable via allowlist/blocklist metarules. DLL control catches malicious modules loaded by interpreters.",script-control + default-deny + blocklist + DLL-control,yes,"Drop untrusted .ps1/.bat/.vbs/.py, execute -> blocked. Blocklist PS for non-admins via metarule (original filename contains powershell AND user not admin).",Interactive/inline commands in trusted interpreter not intercepted. Script control must be enabled.
T1059.001,PowerShell,execution,Yes,Script control blocks untrusted .ps1/.psm1/.psd1. powershell.exe blocklisted for non-admins via metarule (explicitly demonstrated in Airlock blocklist docs). PS -EncodedCommand/-Command inline not inspected.,script-control + blocklist-metarule,yes,"1) Drop unsigned .ps1, invoke -> blocked. 2) Metarule: original_filename contains 'powershell' AND user NOT admin -> PS blocked for std users. 3) PS -Command 'whoami' -> runs if PS trusted. 4) PS -EncodedCommand <b64> -> runs if PS trusted.","Inline/encoded commands in trusted PS not caught. AMSI bypass, download cradles in-memory not Airlock scope."
T1059.003,Windows Command Shell,execution,Yes,Batch/cmd files (.bat/.cmd) enforced under script control. cmd.exe blocklist-restrictable. Child processes spawned by cmd still checked.,script-control + blocklist-metarule,yes,"1) Drop .bat, execute -> blocked. 2) cmd /c dir -> runs (inline). 3) cmd /c C:\Temp\malware.exe -> cmd OK, malware.exe blocked. 4) Blocklist cmd for non-admins.",Inline commands not inspected. Child process launches ARE checked.
T1059.005,Visual Basic,execution,Yes,"VBScript (.vbs/.vbe) blocked via script control. cscript/wscript/mshta blocklist-controllable. VBA macros inside Office: doc opens (Office trusted), dropped payloads blocked.",script-control + blocklist,yes,1) .vbs double-click -> blocked. 2) Blocklist wscript/cscript entirely. 3) Macro drops exe -> exe blocked.,VBA macro code inside trusted Office not inspected.
T1059.006,Python,execution,Yes,python.exe must be allowlisted. .py files enforced via script control. .pyd as DLL control. Most endpoints don't need Python.,script-control + default-deny + DLL-control,yes,"1) python.exe not allowlisted -> blocked. 2) Trusted python.exe, untrusted .py -> blocked. 3) python -c 'print(1)' -> runs if trusted (inline).",Interactive REPL/inline not inspected.
T1059.007,JavaScript,execution,Yes,JS files (.js/.jse) via WSH blocked by script control. node.exe must be allowlisted. mshta.exe blocklist-controllable. Browser JS not in scope.,script-control + blocklist + default-deny,yes,1) .js double-click -> blocked. 2) Blocklist mshta.exe. 3) node.exe not allowlisted -> blocked.,Browser JS runs inside trusted browser process.
T1059.010,AutoHotKey & AutoIT,execution,Yes,AutoHotKey/AutoIT interpreters must be allowlisted (typically not in enterprise). Compiled AHK/AutoIT .exe caught by default-deny.,default-deny,yes,1) AutoIt3.exe not allowlisted -> blocked. 2) Compiled AutoIT dropper -> blocked.,"If interpreter is allowlisted, scripts need coverage."
T1059.011,Lua,execution,Yes,lua.exe/luajit must be allowlisted. Not present in typical enterprise. Embedded Lua in trusted apps not in scope.,default-deny,yes,lua.exe dropped -> blocked (not in allowlist).,Embedded Lua in trusted processes runs in-process.
T1068,Exploitation for Privilege Escalation,privilege-escalation,Yes,"Exploitation for privilege escalation. Exploit runs inside trusted process. If exploit drops payload, blocked. If exploit is a standalone tool, must be trusted.",default-deny,partial,Attacker drops exploit.exe -> blocked. Exploit inside trusted process dropping payload -> payload blocked.,In-memory exploitation not caught. Kernel exploits operating below Airlock not caught.
T1069,Permission Groups Discovery,discovery,Yes,"net.exe (net group, net localgroup) restrictable via blocklist metarule.",blocklist-metarule,yes,Blocklist net.exe for non-admins.,PowerShell AD cmdlets available if PS trusted.
T1069.001,Local Groups,discovery,Yes,net localgroup via net.exe. Restrictable.,blocklist-metarule,yes,Blocklist net.exe for non-admins.,
T1069.002,Domain Groups,discovery,Yes,net group /domain via net.exe. Restrictable.,blocklist-metarule,yes,Blocklist net.exe for non-admins.,
T1070,Indicator Removal,defense-evasion,No,"Indicator removal (parent). Deleting logs, files, etc. Data operations using trusted tools.",none,no,N/A.,
T1070.001,Clear Windows Event Logs,defense-evasion,Yes,wevtutil.exe: restrict via blocklist metarule for non-admins. Prevents attacker from clearing event logs to cover tracks.,blocklist-metarule,yes,Metarule: original_filename 'wevtutil' AND user NOT admin -> blocks log clearing.,Admin-exempted users can still clear logs. Also clearable via PS (Clear-EventLog) if PS is trusted.
T1070.003,Clear Command History,defense-evasion,No,Clear command history. Data operation in trusted process.,none,no,N/A.,
T1070.004,File Deletion,defense-evasion,No,File deletion. del/rm via trusted shell. Data operation.,none,no,N/A.,
T1070.005,Network Share Connection Removal,defense-evasion,Yes,net.exe used for 'net use /delete'. Restrictable via blocklist metarule.,blocklist-metarule,yes,Blocklist net.exe for non-admins.,Minor technique. PowerShell Remove-SmbMapping available if PS trusted.
T1070.006,Timestomp,defense-evasion,No,Timestomp. Modifying file timestamps. Data operation.,none,no,N/A.,"Airlock hashes file content, not timestamps."
T1070.007,Clear Network Connection History and Configurations,defense-evasion,No,Clear network connection history. Data operation.,none,no,N/A.,
T1070.008,Clear Mailbox Data,defense-evasion,No,Clear mailbox data. Data operation.,none,no,N/A.,
T1070.009,Clear Persistence,defense-evasion,No,Clear persistence. Removing previously set persistence. Data operation.,none,no,N/A.,
T1070.010,Relocate Malware,defense-evasion,No,Relocating malware to a different directory. File still has untrusted hash -> blocked regardless of location.,default-deny,partial,Relocated malware still blocked by hash check.,"Actually covered by default-deny (hash doesn't change with location) but the technique itself is about evasion, and Airlock doesn't prevent file movement."
T1071,Application Layer Protocol,command-and-control,No,Application layer protocol. Network.,none,no,N/A.,
T1071.001,Web Protocols,command-and-control,No,Web protocols. Network.,none,no,N/A.,
T1071.002,File Transfer Protocols,command-and-control,No,File transfer protocols. Network.,none,no,N/A.,
T1071.003,Mail Protocols,command-and-control,No,Mail protocols. Network.,none,no,N/A.,
T1071.004,DNS,command-and-control,No,DNS. Network.,none,no,N/A.,
T1071.005,Publish/Subscribe Protocols,command-and-control,No,Publish/subscribe protocols. Network.,none,no,N/A.,
T1072,Software Deployment Tools,"execution,lateral-movement",Yes,"Deployment tools (SCCM, PDQ) are trusted. If compromised to push malicious payloads, payload must still pass default-deny on target endpoint. Untrusted binary blocked at execution regardless of delivery method.",default-deny,partial,"Push unsigned exe via SCCM to endpoint -> deployed successfully, blocked at execution.","If deployment tool configured as trusted parent process, audit process trust rules carefully. Payloads signed by trusted publisher pass publisher trust."
T1074,Data Staged,collection,No,Data staged. Collecting data to staging location. Data operation.,none,no,N/A.,
T1074.001,Local Data Staging,collection,No,Local data staging. Same.,none,no,N/A.,
T1074.002,Remote Data Staging,collection,No,Remote data staging. Same.,none,no,N/A.,
